=== NEW BUY SYSTEM + CONFIRMATION FILTERS ===
Native 2H | ATR 10 | Multiplier 2.0 | HL2 | Wilder RMA
Filters: 2H momentum > 0% | RVOL >= 1.20 | body >= 50% | 4H AL | 1D AL
No Study | production scanner/state untouched

BIST:A1CAP: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:A1YEN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AAGYO: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ACSEL: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ADEL: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ADESE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ADGYO: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AEFES: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AFYON: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AGESA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AGHOL: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AGROT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AGYO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AHGAZ: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AHSGY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKBNK: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKCNS: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKENR: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKFGY: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKFIS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKFYE: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKGRT: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKHAN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKMGY: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKSA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKSEN: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKSGY: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKSUE: ENGINE=-1->1 BUY=True | REF=-1->1 BUY=True | MATCH=True | CANDLE=23.09.2026 17:00
BIST:AKYHO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALARK: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALBRK: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALBTN: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALCAR: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALCTL: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALFAS: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALGYO: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALKA: ENGINE=1->1 BUY=False | REF=1->1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALKIM: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
BIST:ALKLC: ENGINE=-1->-1 BUY=False | REF=-1->-1 BUY=False | MATCH=True | CANDLE=23.09.2026 17:00
