TRADINGVIEW PUBLIC STUDY DIRECT BUY TEST
ATR 10 | MULTIPLIER 2.0 | HL2 | 2H | 10 SYMBOLS
Each symbol uses a fresh Client/Chart/Study; one Study at a time.
BIST:ACSEL | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-3-tvbs-s0srf-7@iln1-charts-free-3-tvbs-s0srf-7"]
BIST:AKSUE | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-3-tvbs-9pul2-7@iln1-charts-free-3-tvbs-9pul2-7"]
BIST:ATSYH | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-3-tvbs-s0srf-8@iln1-charts-free-3-tvbs-s0srf-8"]
BIST:BESLR | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-4-tvbs-i8qay-7@iln1-charts-free-4-tvbs-i8qay-7"]
BIST:BMSCH | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-4-tvbs-dm0p0-1@iln1-charts-free-4-tvbs-dm0p0-1"]
BIST:DMRGD | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-3-tvbs-s0srf-2@iln1-charts-free-3-tvbs-s0srf-2"]
BIST:EMNIS | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-4-tvbs-dm0p0-2@iln1-charts-free-4-tvbs-dm0p0-2"]
BIST:ENPRA | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-4-tvbs-dm0p0-1@iln1-charts-free-4-tvbs-dm0p0-1"]
BIST:MOBTL | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-4-tvbs-dm0p0-3@iln1-charts-free-4-tvbs-dm0p0-3"]
BIST:PETUN | ERROR | Study error: [{"ctx":{"code":"study_limit_exceeded"},"error":"The maximum number of studies per chart has been reached for current subscription"},"iln1-charts-free-4-tvbs-dm0p0-2@iln1-charts-free-4-tvbs-dm0p0-2"]
SUMMARY | OK=0 | ERRORS=10 | REAL_STUDY_BUY=0
